Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length
0	-69.29875	-112.3483	43.04956	0.0499483	0.282933	0.243983	0.0171754	0.0574987	0.00872183	0.0153239	0.00973294	0.0214323	0.0286275	0.0211146	0.00723885	0.0474752	0.0171738	0.0139162	0.00672802	0.0469986	0.133903	0.0426841	0.06365	0.0469491	0.0786166	0.0238258	0.0141202	0.0405292	0.0152814	0.0287779	0.00100934	0.026502	0.0625336	0.0321619	0.0176953	0.0189492	0.00697122	0.0540853	0.598794	1.32826	0.812216	0.903538	0.968849	1.03215	1.10676	1.2312	0.1503903	0.3688453	0.0311346	0.176363	0.152084	0.010706	0.0358411	0.00543664	0.00955194	0.00606691	0.0133596	0.0178446	0.0131616	0.00451225	0.0295931	0.0107051	0.00867451	0.00419383	0.029296	0.0834666	0.0266066	0.0396754	0.0292651	0.0490047	0.0148515	0.00880167	0.0252634	0.00952547	0.0179384	0.000629158	0.0165197	0.0389796	0.0200477	0.0110301	0.0118118	0.00434542	0.0337134	1.604267
36	-77.44135	-121.7444	44.30306	0.0374572	0.269474	0.110703	0.0985846	0.0639453	0.00244038	0.00559558	0.0931527	0.00660433	0.0226308	0.0971036	0.0175865	0.00826345	0.00211975	0.00566229	0.00444403	0.023212	0.00770953	0.0187664	0.0699779	0.0526501	0.00373821	0.00311208	0.0292057	0.0039334	0.0365613	0.000178099	0.00969727	0.0275472	0.00394554	0.0105805	0.0918597	0.0156321	0.0567792	0.00985996	0.185634	1.6663	0.902016	0.95095	0.984432	1.01581	1.05158	1.10863	0.07456541	0.09114944	0.0283614	0.204037	0.0838204	0.0746449	0.0484172	0.00184777	0.00423679	0.0705321	0.00500058	0.0171353	0.0735236	0.0133159	0.00625681	0.001605	0.0042873	0.00336488	0.0175754	0.0058374	0.0142093	0.052985	0.0398649	0.00283045	0.00235636	0.0221136	0.00297824	0.027683	0.00013485	0.00734245	0.0208578	0.00298743	0.0080112	0.0695531	0.0118361	0.0429913	0.00746563	1.320713
72	-79.4165	-122.514	43.09754	0.0158381	0.171328	0.0886625	0.00189764	0.070555	0.0108698	0.026591	0.154858	0.00700599	0.0189349	0.0582904	0.0189265	0.0101572	0.00167198	0.0262838	0.00328042	0.000734184	0.0269618	0.0205501	0.0514686	0.0142365	0.0251367	0.0470355	0.00375081	0.0348222	0.0159361	0.136904	0.0482038	0.030278	0.00122904	0.00582315	0.00897769	0.0714011	0.0282999	0.0759902	0.512138	1.39916	0.429673	0.66234	0.879388	1.13715	1.5098	2.32735	0.6107978	0.2994813	0.0118825	0.128538	0.066519	0.0014237	0.0529338	0.00815504	0.0199499	0.116182	0.00525624	0.0142059	0.0437323	0.0141996	0.0076204	0.0012544	0.0197194	0.00246113	0.000550821	0.0202281	0.0154177	0.0386143	0.010681	0.0188588	0.0352883	0.00281404	0.0261253	0.011956	0.102712	0.0361649	0.0227161	0.000922084	0.00436882	0.00673551	0.0535686	0.021232	0.0570116	1.33289
108	-75.54472	-118.9316	43.38688	0.0129235	0.116563	0.0232447	0.0105423	0.0617441	0.0522183	0.021455	0.0340939	0.0326649	0.0045072	0.0160133	0.125569	0.00413774	0.000706894	0.0763729	0.00629715	0.00765719	0.137782	0.018945	0.0190174	0.000715768	0.090495	0.155517	0.0558295	0.0973893	0.00252823	0.0876375	0.0525302	0.181083	0.000101915	0.0152109	0.0103473	0.0523521	0.0280767	0.0545404	0.285951	1.58422	0.65261	0.812094	0.937128	1.06709	1.23138	1.53231	0.308588	0.1476814	0.00775343	0.0699318	0.0139456	0.00632484	0.0370433	0.0313283	0.0128719	0.0204546	0.0195972	0.00270409	0.00960718	0.0753352	0.00248243	0.0004241	0.0458198	0.00377797	0.00459392	0.0826619	0.011366	0.0114095	0.000429424	0.0542923	0.0933021	0.0334948	0.0584285	0.00151681	0.052578	0.0315154	0.10864	6.11435e-05	0.00912578	0.00620787	0.0314086	0.0168445	0.0327214	1.66681
144	-85.38778	-127.9633	42.57557	0.0860463	0.101299	0.0262851	0.0789612	0.0440412	0.00794972	0.0172659	0.0223307	0.0314633	0.0550974	0.000947051	0.0276136	0.00933479	0.0101079	0.0446727	0.105012	0.000810269	0.0326322	0.0319854	0.012922	0.0173492	0.0234297	0.0305973	0.00235235	0.0991309	0.0295526	0.028164	0.0491743	0.0919681	0.00298268	0.100834	0.0300747	0.0801949	0.0295424	0.0132009	0.713603	1.23432	0.362447	0.609596	0.856914	1.16698	1.64043	2.75903	0.7338265	0.4730174	0.0625644	0.0736543	0.0191119	0.0574128	0.0320224	0.00578025	0.012554	0.0162367	0.022877	0.0400613	0.000688602	0.0200779	0.00678734	0.00734945	0.0324816	0.076354	0.000589147	0.0237269	0.0232566	0.00939558	0.0126146	0.0170358	0.0222473	0.0017104	0.0720782	0.0214878	0.0204781	0.0357547	0.0668701	0.00216871	0.0733165	0.0218674	0.0583098	0.0214803	0.00959836	1.375325
180	-67.32772	-111.4114	44.08366	0.188792	0.213119	0.0623367	0.0273696	0.0414015	0.000555187	0.0110131	0.00914663	0.0347459	0.0199882	0.0218119	0.00845899	0.022548	0.00645779	0.0816109	0.0357883	0.00903313	0.0578516	0.00815344	0.00169956	0.0229551	0.0881109	0.0255522	0.00699967	0.0328089	0.00499305	0.101477	0.0214059	0.095754	0.0303083	0.0164946	0.0237207	0.134612	0.0744922	0.0101172	0.104062	1.73304	0.765312	0.877703	0.96012	1.04154	1.13934	1.30666	0.1934003	0.04912835	0.121669	0.137347	0.0401736	0.0176387	0.0266817	0.000357797	0.00709754	0.00589465	0.0223924	0.0128816	0.0140569	0.00545149	0.0145313	0.00416179	0.0525951	0.0230641	0.0058215	0.0372831	0.00525458	0.0010953	0.0147936	0.0567841	0.0164674	0.00451102	0.021144	0.00321783	0.0653979	0.0137953	0.0617097	0.0195325	0.0106301	0.0152871	0.0867525	0.0480073	0.00652012	1.551684
216	-77.88227	-121.1876	43.30535	0.149309	0.134198	0.117088	0.133003	0.0157127	0.000503392	0.0500858	0.0268011	0.0272851	0.0100192	0.062637	0.0071259	0.040237	0.00529387	0.147253	0.03488	0.0218426	0.0387391	0.0211366	0.000748131	0.00178998	0.0651352	0.0508083	0.0146733	0.00533193	0.0893665	0.0867513	0.0187726	0.0515405	0.0406189	0.00885684	0.0250212	0.136171	0.147334	0.0069812	0.345301	1.53566	0.883021	0.941131	0.981249	1.01911	1.06255	1.13248	0.0899545	0.1839719	0.0832711	0.0748433	0.0653008	0.0741769	0.0087631	0.000280746	0.0279333	0.0149472	0.0152171	0.00558779	0.0349332	0.00397418	0.0224405	0.00295244	0.0821241	0.0194529	0.0121818	0.0216052	0.0117881	0.000417239	0.000998286	0.0363265	0.0283362	0.00818343	0.00297366	0.0498405	0.0483819	0.0104697	0.0287446	0.0226535	0.00493954	0.0139546	0.075944	0.0821693	0.00389347	1.793051
252	-72.64108	-116.7818	44.14073	0.0807566	0.059319	0.118806	0.0655928	0.0191896	0.00987334	0.020031	0.0292636	0.00604467	7.37557e-05	0.00680064	0.0010701	0.0209045	0.000322464	0.0470432	0.00916809	0.00628916	0.14626	0.00839433	0.000112964	0.00559449	0.0260497	0.00579149	0.0174526	0.000679014	0.00158993	0.0346947	0.00917967	0.0042787	0.00700648	0.00517934	0.0263848	0.0051413	0.0463476	0.0086348	0.251524	1.61239	0.447953	0.675935	0.88498	1.12997	1.47943	2.23238	0.580673	0.1276317	0.0939773	0.0690301	0.138256	0.0763311	0.0223311	0.0114897	0.0233102	0.0340544	0.00703425	8.58304e-05	0.00791397	0.00124529	0.0243268	0.000375255	0.0547447	0.010669	0.00731876	0.170204	0.00976858	0.000131458	0.00651037	0.0303143	0.00673962	0.0203097	0.000790176	0.00185022	0.0403746	0.0106825	0.00497917	0.00815352	0.00602725	0.0307043	0.00598299	0.0539352	0.0100484	0.8593199
288	-73.82244	-116.3371	42.51467	0.108201	0.127476	0.100385	0.0163281	0.0139776	0.019616	0.0246498	0.0109872	0.0293222	0.00781438	0.0179261	0.0156352	0.0221733	0.0080328	0.0895589	0.0186426	0.0630057	0.245636	0.0120006	0.00750999	0.0145175	0.0159655	0.0621318	0.0332255	0.000352093	0.0250209	0.217982	0.0669757	0.0930084	0.0283516	0.0146961	0.0800807	0.00117192	0.137779	0.0141695	0.746035	1.20779	0.746404	0.86706	0.956472	1.04551	1.15332	1.33976	0.2114896	0.5053797	0.0613276	0.0722527	0.0568979	0.00925465	0.00792243	0.0111182	0.0139714	0.00622748	0.0166197	0.00442915	0.0101604	0.00886196	0.0125677	0.00455295	0.0507615	0.0105665	0.0357113	0.139225	0.00680187	0.00425662	0.00822845	0.00904915	0.035216	0.018832	0.000199564	0.0141817	0.123551	0.0379615	0.0527166	0.0160695	0.00832968	0.0453893	0.000664236	0.0780927	0.00803118	1.764308
324	-76.89716	-120.7803	43.88311	0.0762839	0.0270441	0.123089	0.0248395	0.0880471	0.00298927	0.0762571	0.0370132	0.000129064	0.00342609	0.0443678	0.0119995	0.0520429	0.00661586	0.023091	0.0082725	0.0313807	0.00291525	0.003273	0.00145787	0.0449221	0.00947137	0.0243001	0.0269346	0.00814372	0.109841	0.0179474	0.0512647	0.00549087	0.0313539	0.00628698	0.0129949	0.0171243	0.0198963	0.00174489	0.536151	1.37951	0.837109	0.916939	0.973309	1.02742	1.09058	1.19459	0.1285623	0.3179885	0.0739005	0.0261992	0.119244	0.0240634	0.0852961	0.00289587	0.0738745	0.0358568	0.000125031	0.00331904	0.0429816	0.0116245	0.0504168	0.00640915	0.0223695	0.00801403	0.0304002	0.00282417	0.00317073	0.00141232	0.0435186	0.00917544	0.0235409	0.0260931	0.00788927	0.106409	0.0173866	0.049663	0.00531931	0.0303743	0.00609055	0.0125889	0.0165893	0.0192747	0.00169037	1.032252
